,ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RelIncAtLev,JobSwitchRate
1,1,49,No,Frequent,RnD,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,-210.0,0.1
3,3,33,No,Frequent,RnD,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,239.0,0.125
4,4,27,No,Rare,RnD,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,798.0,1.5
5,5,32,No,Frequent,RnD,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,398.0,0.0
6,6,59,No,Rare,RnD,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.333
7,7,30,No,Rare,RnD,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Single,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,23.0,1.0
8,8,38,No,Frequent,RnD,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,-454.0,0.0
9,9,36,No,Rare,RnD,27,3,Medical,13,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,-103.0,0.353
10,10,35,No,Rare,RnD,16,3,Medical,14,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,-244.0,0.0
11,11,29,No,Rare,RnD,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,-1147.0,0.0
12,12,31,No,Rare,RnD,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Single,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,241.0,0.2
13,13,34,No,Rare,RnD,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Single,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,-9.0,0.0
15,15,29,No,Rare,RnD,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Single,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,0.0,0.1
16,16,32,No,Rare,RnD,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Single,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,628.0,0.0
17,17,22,No,None,RnD,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Single,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,265.0,1.0
18,18,53,No,Rare,Sales,2,4,Life Sciences,23,1,Female,2,4,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,-727.0,0.065
19,19,38,No,Rare,RnD,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2,1274.0,0.833
20,20,24,No,None,RnD,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Single,4011,0,No,18,3,4,1,5,5,2,4,2,1,3,-1329.0,0.0
22,22,34,No,Rare,RnD,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,2014.0,0.0
23,23,21,No,Rare,RnD,15,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,-1438.0,inf
25,25,53,No,Rare,RnD,5,3,Other,32,3,Female,3,5,Manager,3,Single,19094,4,No,11,3,4,1,26,3,2,14,13,4,8,-138.0,0.154
27,27,42,No,Rare,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,1485.0,0.0
28,28,44,No,Rare,RnD,7,4,Medical,36,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17,268.0,0.125
29,29,46,No,Rare,Sales,2,4,Marketing,38,2,Female,3,5,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,-285.0,0.136
30,30,33,No,Rare,RnD,2,3,Medical,39,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0,-174.0,0.571
31,31,44,No,Rare,RnD,10,4,Other,40,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3,1125.0,0.222
32,32,30,No,Rare,RnD,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,-464.0,0.1
35,35,43,No,Rare,RnD,2,2,Medical,46,4,Female,4,1,Research Scientist,3,Single,2645,1,No,12,3,4,2,6,3,2,5,3,1,4,-25.0,0.167
37,37,35,No,Rare,Sales,2,3,Marketing,49,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2,-656.0,0.5
38,38,36,No,Rare,RnD,5,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0,749.0,1.5
39,39,33,No,Frequent,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3,36.0,0.2
40,40,35,No,Rare,RnD,4,2,Other,53,3,Male,3,1,Laboratory Technician,4,Single,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,-719.0,1.0
41,41,27,No,Rare,RnD,2,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,Single,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,-329.0,1.0
43,43,27,No,Frequent,Sales,8,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,-1254.0,0.111
44,44,30,No,Frequent,RnD,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7,-1329.0,0.083
46,46,34,No,None,Sales,23,4,Marketing,60,2,Male,3,2,Sales Executive,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7,-772.0,0.0
47,47,37,No,Rare,RnD,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0,352.0,0.5
48,48,46,No,Frequent,Sales,5,4,Marketing,62,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8,432.0,0.286
49,49,35,No,Rare,RnD,8,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,-401.0,1.0
52,52,44,No,Rare,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Single,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,114.0,0.556
53,53,35,No,None,RnD,11,2,Medical,70,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,-96.0,0.2
54,54,26,No,Rare,Sales,23,3,Marketing,72,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0,-1183.0,1.4
55,55,33,No,Frequent,RnD,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12,3478.0,0.067
56,56,35,No,Frequent,Sales,18,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8,-911.0,0.111
57,57,35,No,Rare,RnD,23,4,Medical,75,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1344.0,0.75
58,58,31,No,Rare,RnD,7,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,Single,5915,3,No,22,4,4,1,10,3,2,7,7,1,7,575.0,0.3
