,ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RelIncAtLev,JobSwitchRate
0,0,41,Yes,Rare,Sales,1,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,Single,6592.3,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1215.8000000000002,1.0
1,1,49,No,Frequent,RnD,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,5130.0,1,No,23,4,4,1,10,3,3,10,7,1,7,-246.5,0.1
2,2,37,Yes,Rare,RnD,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,2299.0,6,Yes,15,3,2,0,7,3,3,0,0,0,0,-408.10000000000036,0.857
3,3,33,No,Frequent,RnD,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909.0,1,Yes,11,3,3,0,8,3,3,8,7,3,0,201.89999999999964,0.125
4,4,27,No,Rare,RnD,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,3468.0,9,No,12,3,4,1,6,3,3,2,2,2,2,760.8999999999996,1.5
5,5,32,No,Frequent,RnD,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068.0,0,No,13,3,3,0,8,2,2,7,7,3,6,360.89999999999964,0.0
6,6,59,No,Rare,RnD,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670.0,4,Yes,20,4,1,3,12,3,2,1,0,0,0,-37.100000000000364,0.333
7,7,30,No,Rare,RnD,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Single,2693.0,1,No,22,4,2,1,1,2,3,1,0,0,0,-14.100000000000364,1.0
8,8,38,No,Frequent,RnD,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,9526.0,0,No,21,4,2,0,10,2,3,9,7,1,8,-584.0,0.0
9,9,36,No,Rare,RnD,27,3,Medical,13,3,Male,3,2,Healthcare Representative,3,Married,5237.0,6,No,13,3,2,2,17,3,2,7,7,7,7,-139.5,0.353
10,10,35,No,Rare,RnD,16,3,Medical,14,1,Male,4,1,Laboratory Technician,2,Married,2426.0,0,No,13,3,3,1,6,5,3,5,4,0,3,-281.10000000000036,0.0
11,11,29,No,Rare,RnD,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Single,4193.0,0,Yes,12,3,4,0,10,3,3,9,5,0,8,-1183.5,0.0
12,12,31,No,Rare,RnD,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Single,2911.0,1,No,17,3,4,1,5,1,2,5,2,4,3,203.89999999999964,0.2
13,13,34,No,Rare,RnD,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Single,2661.0,0,No,11,3,3,1,3,2,3,2,2,1,2,-46.100000000000364,0.0
14,14,28,Yes,Rare,RnD,24,3,Life Sciences,19,3,Male,2,1,Laboratory Technician,3,Single,2230.8,5,Yes,14,3,2,0,6,4,3,4,2,0,3,-476.3000000000002,0.833
15,15,29,No,Rare,RnD,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Single,9980.0,1,No,11,3,3,1,10,1,3,10,9,8,8,-130.0,0.1
16,16,32,No,Rare,RnD,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Single,3298.0,0,Yes,12,3,4,2,7,5,2,6,2,0,5,590.8999999999996,0.0
17,17,22,No,None,RnD,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Single,2935.0,1,Yes,13,3,2,2,1,2,2,1,0,0,0,227.89999999999964,1.0
18,18,53,No,Rare,Sales,2,4,Life Sciences,23,1,Female,2,4,Manager,4,Married,15427.0,2,No,16,3,3,0,31,3,3,25,8,3,7,-727.0,0.065
19,19,38,No,Rare,RnD,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,3944.0,5,Yes,11,3,3,0,6,3,3,3,2,1,2,1236.8999999999996,0.833
20,20,24,No,None,RnD,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Single,4011.0,0,No,18,3,4,1,5,5,2,4,2,1,3,-1365.5,0.0
21,21,36,Yes,Rare,Sales,9,4,Life Sciences,27,3,Male,2,1,Sales Representative,1,Single,3747.7000000000003,7,No,23,4,2,0,10,4,3,5,3,0,3,1040.6,0.7
22,22,34,No,Rare,RnD,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994.0,0,No,11,3,3,0,13,4,3,12,6,2,11,1884.0,0.0
23,23,21,No,Rare,RnD,15,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,Single,1232.0,1,No,14,3,4,0,0,6,3,0,0,0,0,-1475.1000000000004,inf
24,24,34,Yes,Rare,RnD,6,1,Medical,31,2,Male,3,1,Research Scientist,1,Single,3256.0000000000005,2,No,11,3,3,0,8,2,3,4,2,1,3,548.9000000000001,0.25
25,25,53,No,Rare,RnD,5,3,Other,32,3,Female,3,5,Manager,3,Single,19094.0,4,No,11,3,4,1,26,3,2,14,13,4,8,-143.0,0.154
26,26,32,Yes,Frequent,RnD,16,1,Life Sciences,33,2,Female,1,1,Research Scientist,1,Single,4310.900000000001,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1603.8000000000002,0.1
27,27,42,No,Rare,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,6825.0,0,No,11,3,4,1,10,2,3,9,7,4,2,1448.5,0.0
28,28,44,No,Rare,RnD,7,4,Medical,36,1,Female,2,3,Healthcare Representative,4,Married,10248.0,3,No,14,3,4,1,24,4,3,22,6,5,17,138.0,0.125
29,29,46,No,Rare,Sales,2,4,Marketing,38,2,Female,3,5,Manager,1,Single,18947.0,3,No,12,3,4,0,22,2,2,2,2,2,1,-290.0,0.136
30,30,33,No,Rare,RnD,2,3,Medical,39,3,Male,3,1,Laboratory Technician,4,Single,2496.0,4,No,11,3,4,0,7,3,3,1,1,0,0,-211.10000000000036,0.571
31,31,44,No,Rare,RnD,10,4,Other,40,4,Male,3,2,Healthcare Representative,4,Married,6465.0,2,Yes,13,3,4,0,9,5,4,4,2,1,3,1088.5,0.222
32,32,30,No,Rare,RnD,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206.0,1,No,13,3,1,0,10,5,3,10,0,1,8,-501.10000000000036,0.1
33,33,39,Yes,Rare,Sales,5,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,Married,2294.6000000000004,3,No,14,3,3,1,19,6,4,1,0,0,0,-3081.8999999999996,0.158
34,34,24,Yes,Rare,RnD,1,3,Medical,45,2,Male,3,1,Research Scientist,4,Married,2522.3,2,Yes,16,3,1,1,6,2,2,2,0,2,0,-184.80000000000018,0.333
